file_name,file_path,page_count,text_chars,status,error
28696211.pdf,D:\论坛\线下\3\500-collection\28696211.pdf,54,70838,text,
28696585.pdf,D:\论坛\线下\3\500-collection\28696585.pdf,37,50325,text,
28711832.pdf,D:\论坛\线下\3\500-collection\28711832.pdf,33,51385,text,
28738422.pdf,D:\论坛\线下\3\500-collection\28738422.pdf,2,10442,text,
28790196.pdf,D:\论坛\线下\3\500-collection\28790196.pdf,11,65661,text,
28804034.pdf,D:\论坛\线下\3\500-collection\28804034.pdf,9,16101,text,
29020184.pdf,D:\论坛\线下\3\500-collection\29020184.pdf,9,47593,text,
29074587.pdf,D:\论坛\线下\3\500-collection\29074587.pdf,30,80504,text,
29083408.pdf,D:\论坛\线下\3\500-collection\29083408.pdf,14,87078,text,
29120784.pdf,D:\论坛\线下\3\500-collection\29120784.pdf,7,38001,text,
29279943.pdf,D:\论坛\线下\3\500-collection\29279943.pdf,10,40457,text,
29326427.pdf,D:\论坛\线下\3\500-collection\29326427.pdf,13,55269,text,
29336868.pdf,D:\论坛\线下\3\500-collection\29336868.pdf,7,56439,text,
29420235.pdf,D:\论坛\线下\3\500-collection\29420235.pdf,17,81624,text,
29420956.pdf,D:\论坛\线下\3\500-collection\29420956.pdf,11,49518,text,
29636509.pdf,D:\论坛\线下\3\500-collection\29636509.pdf,12,67143,text,
29705001.pdf,D:\论坛\线下\3\500-collection\29705001.pdf,22,54568,text,
29728206.pdf,D:\论坛\线下\3\500-collection\29728206.pdf,3,13659,text,
29739865.pdf,D:\论坛\线下\3\500-collection\29739865.pdf,26,49094,text,
29844063.pdf,D:\论坛\线下\3\500-collection\29844063.pdf,2,7704,text,
29845858.pdf,D:\论坛\线下\3\500-collection\29845858.pdf,37,71428,text,
29858567.pdf,D:\论坛\线下\3\500-collection\29858567.pdf,12,67898,text,
29866130.pdf,D:\论坛\线下\3\500-collection\29866130.pdf,13,65227,text,
29867233.pdf,D:\论坛\线下\3\500-collection\29867233.pdf,1,7055,text,
29925604.pdf,D:\论坛\线下\3\500-collection\29925604.pdf,10,74170,text,
29986954.pdf,D:\论坛\线下\3\500-collection\29986954.pdf,31,52108,text,
29986963.pdf,D:\论坛\线下\3\500-collection\29986963.pdf,4,12172,text,
29992631.pdf,D:\论坛\线下\3\500-collection\29992631.pdf,33,41710,text,
30004226.pdf,D:\论坛\线下\3\500-collection\30004226.pdf,22,105260,text,
30127035.pdf,D:\论坛\线下\3\500-collection\30127035.pdf,6,37006,text,
30238111.pdf,D:\论坛\线下\3\500-collection\30238111.pdf,40,68173,text,
30257381.pdf,D:\论坛\线下\3\500-collection\30257381.pdf,10,46598,text,
30301568.pdf,D:\论坛\线下\3\500-collection\30301568.pdf,9,49178,text,
30354205.pdf,D:\论坛\线下\3\500-collection\30354205.pdf,11,56952,text,
30428350.pdf,D:\论坛\线下\3\500-collection\30428350.pdf,18,71002,text,
30487528.pdf,D:\论坛\线下\3\500-collection\30487528.pdf,14,98185,text,
30521806.pdf,D:\论坛\线下\3\500-collection\30521806.pdf,1,15,possible_scan,
30551396.pdf,D:\论坛\线下\3\500-collection\30551396.pdf,9,30079,text,
30580239.pdf,D:\论坛\线下\3\500-collection\30580239.pdf,65,128224,text,
30643137.pdf,D:\论坛\线下\3\500-collection\30643137.pdf,14,74018,text,
30645169.pdf,D:\论坛\线下\3\500-collection\30645169.pdf,4,15208,text,
30664268.pdf,D:\论坛\线下\3\500-collection\30664268.pdf,29,45507,text,
30722063.pdf,D:\论坛\线下\3\500-collection\30722063.pdf,14,35268,text,
30723473.pdf,D:\论坛\线下\3\500-collection\30723473.pdf,11,54859,text,
30928526.pdf,D:\论坛\线下\3\500-collection\30928526.pdf,10,46944,text,
30975991.pdf,D:\论坛\线下\3\500-collection\30975991.pdf,14,83635,text,
30979957.pdf,D:\论坛\线下\3\500-collection\30979957.pdf,2,10634,text,
31004524.pdf,D:\论坛\线下\3\500-collection\31004524.pdf,34,61901,text,
31023098.pdf,D:\论坛\线下\3\500-collection\31023098.pdf,11,54905,text,
31051232.pdf,D:\论坛\线下\3\500-collection\31051232.pdf,13,66480,text,
31108350.pdf,D:\论坛\线下\3\500-collection\31108350.pdf,12,61994,text,
31117810.pdf,D:\论坛\线下\3\500-collection\31117810.pdf,10,57321,text,
31152787.pdf,D:\论坛\线下\3\500-collection\31152787.pdf,20,35834,text,
31334749.pdf,D:\论坛\线下\3\500-collection\31334749.pdf,3,12603,text,
31350818.pdf,D:\论坛\线下\3\500-collection\31350818.pdf,1,15,possible_scan,
31432066.pdf,D:\论坛\线下\3\500-collection\31432066.pdf,40,59032,text,
31432447.pdf,D:\论坛\线下\3\500-collection\31432447.pdf,9,30322,text,
31472391.pdf,D:\论坛\线下\3\500-collection\31472391.pdf,7,41439,text,
31552977.pdf,D:\论坛\线下\3\500-collection\31552977.pdf,38,63323,text,
31599200.pdf,D:\论坛\线下\3\500-collection\31599200.pdf,3,12259,text,
31683256.pdf,D:\论坛\线下\3\500-collection\31683256.pdf,32,51242,text,
31707943.pdf,D:\论坛\线下\3\500-collection\31707943.pdf,7,29589,text,
31712250.pdf,D:\论坛\线下\3\500-collection\31712250.pdf,26,40933,text,
31728063.pdf,D:\论坛\线下\3\500-collection\31728063.pdf,13,86706,text,
31739063.pdf,D:\论坛\线下\3\500-collection\31739063.pdf,51,59190,text,
31758647.pdf,D:\论坛\线下\3\500-collection\31758647.pdf,25,41409,text,
31867675.pdf,D:\论坛\线下\3\500-collection\31867675.pdf,15,77593,text,
31877545.pdf,D:\论坛\线下\3\500-collection\31877545.pdf,28,51586,text,
31914720.pdf,D:\论坛\线下\3\500-collection\31914720.pdf,13,50170,text,
31918273.pdf,D:\论坛\线下\3\500-collection\31918273.pdf,9,42060,text,
31930920.pdf,D:\论坛\线下\3\500-collection\31930920.pdf,43,248954,text,
31981522.pdf,D:\论坛\线下\3\500-collection\31981522.pdf,2,9427,text,
32000955.pdf,D:\论坛\线下\3\500-collection\32000955.pdf,13,58751,text,
32037232.pdf,D:\论坛\线下\3\500-collection\32037232.pdf,2,8820,text,
32100347.pdf,D:\论坛\线下\3\500-collection\32100347.pdf,2,9939,text,
32115688.pdf,D:\论坛\线下\3\500-collection\32115688.pdf,37,60952,text,
32152647.pdf,D:\论坛\线下\3\500-collection\32152647.pdf,10,47756,text,
32216897.pdf,D:\论坛\线下\3\500-collection\32216897.pdf,2,2758,text,
32219876.pdf,D:\论坛\线下\3\500-collection\32219876.pdf,3,4256,text,
32259482.pdf,D:\论坛\线下\3\500-collection\32259482.pdf,26,108161,text,
32317144.pdf,D:\论坛\线下\3\500-collection\32317144.pdf,14,116516,text,
32339574.pdf,D:\论坛\线下\3\500-collection\32339574.pdf,42,49961,text,
32413132.pdf,D:\论坛\线下\3\500-collection\32413132.pdf,11,53120,text,
32466906.pdf,D:\论坛\线下\3\500-collection\32466906.pdf,8,55937,text,
32589948.pdf,D:\论坛\线下\3\500-collection\32589948.pdf,3,15251,text,
32638417.pdf,D:\论坛\线下\3\500-collection\32638417.pdf,18,100816,text,
32865299.pdf,D:\论坛\线下\3\500-collection\32865299.pdf,16,76692,text,
32979417.pdf,D:\论坛\线下\3\500-collection\32979417.pdf,33,72713,text,
32981521.pdf,D:\论坛\线下\3\500-collection\32981521.pdf,11,50185,text,
33053939.pdf,D:\论坛\线下\3\500-collection\33053939.pdf,9,35779,text,
33142057.pdf,D:\论坛\线下\3\500-collection\33142057.pdf,16,87114,text,
33165813.pdf,D:\论坛\线下\3\500-collection\33165813.pdf,20,99892,text,
33219145.pdf,D:\论坛\线下\3\500-collection\33219145.pdf,36,53939,text,
33270924.pdf,D:\论坛\线下\3\500-collection\33270924.pdf,45,74626,text,
33340575.pdf,D:\论坛\线下\3\500-collection\33340575.pdf,10,15476,text,
33346905.pdf,D:\论坛\线下\3\500-collection\33346905.pdf,14,74216,text,
33401222.pdf,D:\论坛\线下\3\500-collection\33401222.pdf,15,43655,text,
33436178.pdf,D:\论坛\线下\3\500-collection\33436178.pdf,10,41578,text,
33529671.pdf,D:\论坛\线下\3\500-collection\33529671.pdf,2,11625,text,
33739219.pdf,D:\论坛\线下\3\500-collection\33739219.pdf,20,71230,text,
34017059.pdf,D:\论坛\线下\3\500-collection\34017059.pdf,14,87223,text,
34022606.pdf,D:\论坛\线下\3\500-collection\34022606.pdf,11,46954,text,
34022607.pdf,D:\论坛\线下\3\500-collection\34022607.pdf,14,57093,text,
34058443.pdf,D:\论坛\线下\3\500-collection\34058443.pdf,15,134298,text,
34145255.pdf,D:\论坛\线下\3\500-collection\34145255.pdf,8,47377,text,
34174143.pdf,D:\论坛\线下\3\500-collection\34174143.pdf,12,56491,text,
34209751.pdf,D:\论坛\线下\3\500-collection\34209751.pdf,23,89374,text,
34268791.pdf,D:\论坛\线下\3\500-collection\34268791.pdf,6,5311,text,
34325834.pdf,D:\论坛\线下\3\500-collection\34325834.pdf,3,12608,text,
34391097.pdf,D:\论坛\线下\3\500-collection\34391097.pdf,10,52511,text,
34543184.pdf,D:\论坛\线下\3\500-collection\34543184.pdf,33,140663,text,
34608663.pdf,D:\论坛\线下\3\500-collection\34608663.pdf,1,19,possible_scan,
34656031.pdf,D:\论坛\线下\3\500-collection\34656031.pdf,6,40607,text,
34665280.pdf,D:\论坛\线下\3\500-collection\34665280.pdf,1,15,possible_scan,
34758018.pdf,D:\论坛\线下\3\500-collection\34758018.pdf,34,112339,text,
34831289.pdf,D:\论坛\线下\3\500-collection\34831289.pdf,15,45617,text,
34887515.pdf,D:\论坛\线下\3\500-collection\34887515.pdf,34,155342,text,
35065923.pdf,D:\论坛\线下\3\500-collection\35065923.pdf,1,19,possible_scan,
35091300.pdf,D:\论坛\线下\3\500-collection\35091300.pdf,1,19,possible_scan,
35174767.pdf,D:\论坛\线下\3\500-collection\35174767.pdf,1,19,possible_scan,
35231696.pdf,D:\论坛\线下\3\500-collection\35231696.pdf,8,43168,text,
35263593.pdf,D:\论坛\线下\3\500-collection\35263593.pdf,1,19,possible_scan,
35524156.pdf,D:\论坛\线下\3\500-collection\35524156.pdf,13,71477,text,
35655263.pdf,D:\论坛\线下\3\500-collection\35655263.pdf,10,47495,text,
35671398.pdf,D:\论坛\线下\3\500-collection\35671398.pdf,1,19,possible_scan,
35899625.pdf,D:\论坛\线下\3\500-collection\35899625.pdf,16,71919,text,
35978143.pdf,D:\论坛\线下\3\500-collection\35978143.pdf,13,82642,text,
36138342.pdf,D:\论坛\线下\3\500-collection\36138342.pdf,14,50611,text,
36209972.pdf,D:\论坛\线下\3\500-collection\36209972.pdf,1,19,possible_scan,
36241614.pdf,D:\论坛\线下\3\500-collection\36241614.pdf,19,111053,text,
36253617.pdf,D:\论坛\线下\3\500-collection\36253617.pdf,1,15,possible_scan,
36329453.pdf,D:\论坛\线下\3\500-collection\36329453.pdf,10,40712,text,
36379916.pdf,D:\论坛\线下\3\500-collection\36379916.pdf,1,0,possible_scan,
36544761.pdf,D:\论坛\线下\3\500-collection\36544761.pdf,18,115145,text,
36842496.pdf,D:\论坛\线下\3\500-collection\36842496.pdf,13,58643,text,
36855099.pdf,D:\论坛\线下\3\500-collection\36855099.pdf,11,50332,text,
37317027.pdf,D:\论坛\线下\3\500-collection\37317027.pdf,15,56426,text,
37378635.pdf,D:\论坛\线下\3\500-collection\37378635.pdf,13,67095,text,
37408213.pdf,D:\论坛\线下\3\500-collection\37408213.pdf,19,80656,text,
37495999.pdf,D:\论坛\线下\3\500-collection\37495999.pdf,12,56111,text,
37537553.pdf,D:\论坛\线下\3\500-collection\37537553.pdf,9,33451,text,
37564657.pdf,D:\论坛\线下\3\500-collection\37564657.pdf,16,69859,text,
37580962.pdf,D:\论坛\线下\3\500-collection\37580962.pdf,23,92760,text,
37695493.pdf,D:\论坛\线下\3\500-collection\37695493.pdf,25,133017,text,
37899701.pdf,D:\论坛\线下\3\500-collection\37899701.pdf,14,50965,text,
38012141.pdf,D:\论坛\线下\3\500-collection\38012141.pdf,12,55139,text,
38250152.pdf,D:\论坛\线下\3\500-collection\38250152.pdf,21,75372,text,
38414015.pdf,D:\论坛\线下\3\500-collection\38414015.pdf,20,89435,text,
38474427.pdf,D:\论坛\线下\3\500-collection\38474427.pdf,23,74556,text,
38539208.pdf,D:\论坛\线下\3\500-collection\38539208.pdf,25,109273,text,
38563381.pdf,D:\论坛\线下\3\500-collection\38563381.pdf,4,12222,text,
38570069.pdf,D:\论坛\线下\3\500-collection\38570069.pdf,18,105408,text,
38710444.pdf,D:\论坛\线下\3\500-collection\38710444.pdf,16,72226,text,
38796310.pdf,D:\论坛\线下\3\500-collection\38796310.pdf,16,97418,text,
38831027.pdf,D:\论坛\线下\3\500-collection\38831027.pdf,7,11728,text,
39143573.pdf,D:\论坛\线下\3\500-collection\39143573.pdf,19,69270,text,
39277575.pdf,D:\论坛\线下\3\500-collection\39277575.pdf,25,79155,text,
39670881.pdf,D:\论坛\线下\3\500-collection\39670881.pdf,22,37976,text,
39774697.pdf,D:\论坛\线下\3\500-collection\39774697.pdf,13,69647,text,
39780204.pdf,D:\论坛\线下\3\500-collection\39780204.pdf,10,49351,text,
